Country Code,Name,Location,System ID,URL,Auto-Discovery URL,Scooter URL
CA,Spin Edmonton,"Edmonton, CA",spin edmonton,https://www.spin.pm,https://gbfs.spin.pm/api/gbfs/v2_3/edmonton/gbfs,https://gbfs.spin.pm/api/gbfs/v2_3/edmonton/free_bike_status.json
CA,Spin Kelowna,"Kelowna, CA",spin kelowna_sr,https://www.spin.app,https://gbfs.spin.pm/api/gbfs/v2_3/kelowna/gbfs.json,https://gbfs.spin.pm/api/gbfs/v2_3/kelowna/free_bike_status.json
US,Spin Akron,"Akron, OH",spin akron,https://www.spin.pm,https://gbfs.spin.pm/api/gbfs/v2_3/akron/gbfs,https://gbfs.spin.pm/api/gbfs/v2_3/akron/free_bike_status.json
US,Spin Albuquerque,"Albuquerque, NM",spin albuquerque,https://www.spin.pm,https://gbfs.spin.pm/api/gbfs/v2_3/albuquerque/gbfs,https://gbfs.spin.pm/api/gbfs/v2_3/albuquerque/free_bike_status.json
US,Spin Alexandria,"Alexandria, VA",spin alexandria,https://www.spin.pm,https://gbfs.spin.pm/api/gbfs/v2_3/alexandria/gbfs,https://gbfs.spin.pm/api/gbfs/v2_3/alexandria/free_bike_status.json
US,Spin Ann Arbor,"Ann Arbor, MI",spin ann_arbor,https://www.spin.pm,https://gbfs.spin.pm/api/gbfs/v2_3/ann_arbor/gbfs,https://gbfs.spin.pm/api/gbfs/v2_3/ann_arbor/free_bike_status.json
US,Spin Asbury Park,"Asbury Park, NY",spin asbury_park,https://www.spin.pm,https://gbfs.spin.pm/api/gbfs/v2_3/asbury_park/gbfs,https://gbfs.spin.pm/api/gbfs/v2_3/asbury_park/free_bike_status.json
US,Spin Atlanta,"Atlanta, GA",spin atlanta,https://www.spin.pm,https://gbfs.spin.pm/api/gbfs/v2_3/atlanta/gbfs,https://gbfs.spin.pm/api/gbfs/v2_3/atlanta/free_bike_status.json
US,Spin Austin,"Austin, TX",spin austin,https://www.spin.pm,https://gbfs.spin.pm/api/gbfs/v2_3/austin/gbfs,https://gbfs.spin.pm/api/gbfs/v2_3/austin/free_bike_status.json
US,Spin Baltimore,"Baltimore, MD",spin baltimore,https://www.spin.pm,https://gbfs.spin.pm/api/gbfs/v2_3/baltimore/gbfs.json,https://gbfs.spin.pm/api/gbfs/v2_3/baltimore/free_bike_status.json
US,Spin Boise,"Boise, ID",spin boise,https://www.spin.pm,https://gbfs.spin.pm/api/gbfs/v2_3/boise/gbfs,https://gbfs.spin.pm/api/gbfs/v2_3/boise/free_bike_status.json
US,Spin Brookline,"Brookline, MA",spin brookline,https://www.spin.pm,https://gbfs.spin.pm/api/gbfs/v2_3/brookline/gbfs,https://gbfs.spin.pm/api/gbfs/v2_3/brookline/free_bike_status.json
US,Spin Charlotte,"Charlotte,NC",spin charlotte,https://www.spin.pm,https://gbfs.spin.pm/api/gbfs/v2_3/charlotte/gbfs,https://gbfs.spin.pm/api/gbfs/v2_3/charlotte/free_bike_status.json
US,Spin Chicago,"Chicago, IL",spin chicago,https://www.spin.pm,https://gbfs.spin.pm/api/gbfs/v2_3/chicago_territory/gbfs,https://gbfs.spin.pm/api/gbfs/v2_3/chicago_territory/free_bike_status.json
US,Spin Cleveland,"Cleveland, OH",spin cleveland,https://www.spin.pm,https://gbfs.spin.pm/api/gbfs/v2_3/cleveland/gbfs,https://gbfs.spin.pm/api/gbfs/v2_3/cleveland/free_bike_status.json
US,Spin Columbus,"Columbus, OH",spin columbus,https://www.spin.pm,https://gbfs.spin.pm/api/gbfs/v2_3/columbus/gbfs,https://gbfs.spin.pm/api/gbfs/v2_3/columbus/free_bike_status.json
US,Spin Coral Gables,"Coral Gables, FL",spin coral_gables,https://www.spin.pm,https://gbfs.spin.pm/api/gbfs/v2_3/coral_gables/gbfs,https://gbfs.spin.pm/api/gbfs/v2_3/coral_gables/free_bike_status.json
US,Spin Dayton,"Dayton, OH",spin dayton,https://www.spin.pm,https://gbfs.spin.pm/api/gbfs/v2_3/dayton/gbfs,https://gbfs.spin.pm/api/gbfs/v2_3/dayton/free_bike_status.json
