Country Code,Name,Location,System ID,URL,Auto-Discovery URL,Validation Report
DE,Tier Aachen,"Aachen, DE",openvelo_aachen_tier,https://www.tier.app,https://nitro.openvelo.org/aachen/tier/v2/gbfs.json,https://gbfs-validator.netlify.app/?url=https%3A%2F%2Fnitro.openvelo.org%2Faachen%2Ftier%2Fv2%2Fgbfs.json
FR,Tier GRENOBLE,"Grenoble, FR",tier_GRENOBLE,https://www.tier.app,https://data.mobilites-m.fr/api/gbfs/tier_grenoble/gbfs,https://gbfs-validator.netlify.app/?url=https%3A%2F%2Fdata.mobilites-m.fr%2Fapi%2Fgbfs%2Ftier_grenoble%2Fgbfs
NO,Tier Asker,"Asker, NO",tierasker,https://www.tier.app/,https://api.entur.io/mobility/v2/gbfs/tierasker/gbfs,https://gbfs-validator.netlify.app/?url=https%3A%2F%2Fapi.entur.io%2Fmobility%2Fv2%2Fgbfs%2Ftierasker%2Fgbfs
NO,Tier Baerum,"Baerum, NO",tierbaerum,https://www.tier.app/,https://api.entur.io/mobility/v2/gbfs/tierbaerum/gbfs,https://gbfs-validator.netlify.app/?url=https%3A%2F%2Fapi.entur.io%2Fmobility%2Fv2%2Fgbfs%2Ftierbaerum%2Fgbfs
NO,Tier Drammen,"Drammen, NO",tierdrammen,https://www.tier.app/,https://api.entur.io/mobility/v2/gbfs/tierdrammen/gbfs,https://gbfs-validator.netlify.app/?url=https%3A%2F%2Fapi.entur.io%2Fmobility%2Fv2%2Fgbfs%2Ftierdrammen%2Fgbfs
NO,Tier Lillestrom,"Lillestrom, NO",tierlillestrom,https://www.tier.app/,https://api.entur.io/mobility/v2/gbfs/tierlillestrom/gbfs,https://gbfs-validator.netlify.app/?url=https%3A%2F%2Fapi.entur.io%2Fmobility%2Fv2%2Fgbfs%2Ftierlillestrom%2Fgbfs
NO,Tier Lorenskog,"Lorenskog, NO",tierlorenskog,https://www.tier.app/,https://api.entur.io/mobility/v2/gbfs/tierlorenskog/gbfs,https://gbfs-validator.netlify.app/?url=https%3A%2F%2Fapi.entur.io%2Fmobility%2Fv2%2Fgbfs%2Ftierlorenskog%2Fgbfs
NO,Tier Oslo,"Oslo, NO",tieroslo,https://www.tier.app/,https://api.entur.io/mobility/v2/gbfs/tieroslo/gbfs,https://gbfs-validator.netlify.app/?url=https%3A%2F%2Fapi.entur.io%2Fmobility%2Fv2%2Fgbfs%2Ftieroslo%2Fgbfs
NO,Tier Ski,"Ski, NO",tierski,https://www.tier.app/,https://api.entur.io/mobility/v2/gbfs/tierski/gbfs,https://gbfs-validator.netlify.app/?url=https%3A%2F%2Fapi.entur.io%2Fmobility%2Fv2%2Fgbfs%2Ftierski%2Fgbfs
NO,Tier Stavanger,"Stavanger, NO",tierstavanger,https://www.tier.app/,https://api.entur.io/mobility/v2/gbfs/tierstavanger/gbfs,https://gbfs-validator.netlify.app/?url=https%3A%2F%2Fapi.entur.io%2Fmobility%2Fv2%2Fgbfs%2Ftierstavanger%2Fgbfs
NO,Tier Trondheim,"Trondheim, NO",tiertrondheim,https://www.tier.app/,https://api.entur.io/mobility/v2/gbfs/tiertrondheim/gbfs,https://gbfs-validator.netlify.app/?url=https%3A%2F%2Fapi.entur.io%2Fmobility%2Fv2%2Fgbfs%2Ftiertrondheim%2Fgbfs
